#{"t_start": 1603650677.3055604, "env_id": "CarlaGymEnv-v5522"}
r,l,t
-7.072058,5,12.550688
-20,2,15.944129
-8.66413,3,21.309051
-0.236974,3,26.521494
-9.776391,2,29.44702
-14.891064,3,34.270416
-15.651493,15,69.417384
-19.850189,10,93.164236
-9.808165,6,106.20859
-29.277829,8,124.813868
-8.062575,2,128.156095
12.17685,11,151.208549
-5.304892,3,156.682734
-1.980724,3,162.176629
-47.745623,12,191.08646
-19.46262,4,199.329109
19.312184,14,231.556306
-38.800883,8,250.000382
124.577592,13,276.93159
-19.213457,4,285.002431
-9.260293,2,287.864788
-29.994354,4,296.607289
-39.473028,6,308.7412
-7.339404,7,324.020896
-6.842616,3,328.981586
-28.664586,9,349.236228
53.020235,14,380.630525
-9.344104,7,394.513911
-19.048793,4,402.528528
-8.606275,9,420.832753
-67.871075,12,449.001142
-22.411848,14,481.437026
4.552809,14,513.274422
-3.554068,11,539.125073
-39.548961,10,562.840461
-2.403412,3,568.092887
-8.341955,3,573.30231
-57.774201,10,596.023963
-15.009721,15,632.966366
-3.999097,4,640.888807
-9.628677,4,649.589948
-11.323887,9,668.792097
-26.871183,15,704.343029
-2.081486,5,713.990772
-9.883295,4,722.375348
27.146986,8,738.842459
-38.136048,15,774.952461
-32.457673,14,806.329441
-27.565109,15,843.382427
8.70594,5,853.701632
0.04414,11,878.780638
17.161506,14,911.13905
-9.504487,3,916.792175
-6.035598,2,919.67427
29.720533,7,933.0982
-9.89351,2,936.235765
-7.459807,9,956.779076
1.613917,7,971.921241
-6.380567,5,982.153423
-56.599499,11,1006.640041
-9.053906,9,1025.80235
-9.127071,6,1038.160076
-6.749136,3,1043.288999
23.559343,14,1074.733886
-9.401134,4,1082.73976
-13.442363,3,1088.142887
4.948617,5,1097.865681
-9.877998,6,1111.309124
17.961781,13,1139.991676
-58.078058,15,1177.614298
-19.298616,4,1185.618337
-4.07933,5,1195.480814
-9.764033,3,1200.878083
-16.241402,10,1224.232732
-17.859664,9,1244.200265
-6.059395,6,1256.811094
-21.778258,13,1286.553259
-8.048551,3,1291.630243
-43.228782,15,1328.488943
0.962272,3,1333.395933
-3.272784,2,1336.488877
-44.352451,11,1360.936886
-8.490799,4,1369.149521
-15.184851,3,1375.052791
3.559969,14,1406.936843
-9.391849,2,1409.909245
-23.579215,15,1446.694129
-20.399141,11,1470.483126
14.787678,14,1504.333787
-10.602434,4,1512.223464
-8.310057,15,1548.562929
-17.539384,12,1574.172346
-6.858284,5,1584.597004
-7.361645,2,1587.484862
-9.521051,4,1595.56664
39.238064,12,1621.367584
-9.593743,3,1626.487285
-29.1117,8,1643.747575
-13.223401,15,1678.058788
3.252829,15,1712.090443
-9.943922,2,1715.028572
-8.5135,2,1717.998106
-49.540518,6,1730.971467
-5.999972,10,1753.60322
-14.74429,10,1776.222373
-51.837783,14,1809.775373
6.228204,15,1844.35324
-36.386883,15,1880.755018
-9.916025,3,1886.287316
-8.122249,15,1922.726121
-15.815333,13,1952.203217
-8.01815,4,1960.056067
10.433777,8,1977.218465
-5.442001,15,2013.602534
-39.226586,9,2034.079906
3.093883,5,2044.135676
-28.120634,13,2071.400698
-4.367736,6,2082.937967
-24.932815,15,2119.53603
-20,2,2122.478014
-7.469917,11,2147.607054
-4.485518,6,2159.585775
-6.927009,11,2185.001062
-8.781429,4,2193.509396
-20,2,2197.067694
-9.119326,5,2207.254648
-9.943904,2,2210.517748
-3.408069,3,2216.062124
-6.688321,9,2235.88484
-6.611948,3,2240.878689
5.770829,5,2250.763723
13.939756,3,2255.767444
-11.94035,15,2290.474972
-3.517973,2,2293.405334
0.124108,9,2315.07638
-0.577669,13,2343.509412
-22.735444,15,2378.810427
-11.335135,15,2413.273188
-38.90886,7,2427.555957
-29.362689,9,2447.934593
-5.248173,7,2462.68779
20.025095,15,2497.177206
-28.094063,6,2509.909506
1.895773,6,2522.997953
4.609199,5,2532.752128
-9.293512,8,2551.03035
-19.24021,3,2556.686546
54.589754,14,2587.384908
-18.702567,3,2592.590137
4.941153,11,2616.210127
-5.789016,3,2621.914718
-9.086437,15,2657.772086
-33.793641,15,2693.193956
-25.241552,5,2704.001251
-9.859755,4,2712.045635
-19.484011,10,2735.193191
-5.393816,3,2740.271028
31.288473,13,2766.032957
-29.876228,7,2782.640631
-20.171061,13,2811.64302
-9.65435,4,2819.830044
-15.300895,9,2839.344134
-27.242072,15,2877.793968
-1.384925,3,2882.71107
-9.711751,6,2895.878771
-9.032958,8,2913.425049
-20,2,2916.349333
-3.720758,15,2952.078266
24.988912,10,2972.366014
-5.565344,15,3009.324289
-8.578909,2,3013.37672
-8.402352,6,3026.23718
-6.005187,6,3038.690902
-30.305114,11,3061.691096
69.771324,14,3091.873229
-48.363366,9,3112.503793
-9.69867,2,3115.358907
-15.983307,7,3129.687829
-38.734584,7,3144.335962
-18.459237,9,3164.316774
-18.765365,7,3179.949762
-28.37396,5,3190.520462
-23.020752,15,3226.378184
-9.925317,2,3229.349705
8.532319,8,3245.823959
35.043279,14,3278.981743
-5.879702,4,3288.339758
-4.846108,3,3293.339555
10.776158,9,3313.112039
-10.850563,12,3339.85223
-19.911176,7,3355.368186
-27.155124,9,3374.674078
-1.232837,3,3380.157943
-3.605126,2,3383.173544
25.797177,13,3410.562049
-3.099054,3,3415.686783
-6.600686,3,3420.85197
-5.66259,3,3426.099604
4.432525,7,3440.581151
-9.862628,2,3443.842184
-6.815186,3,3449.283797
-16.29294,15,3483.734807
38.107702,15,3519.951305
-15.47115,6,3532.051748
1.692158,15,3571.224517
-1.538184,6,3583.440415
-17.728051,7,3598.131027
27.78367,14,3630.206416
-7.826071,5,3640.323676
